Title,Time,Description,Source
"Genocide Charge Against Israel ""Outrageous"", Says PM Benjamin Netanyahu","Sat, 27 Jan 2024 02:17:22 GMT","""The charge of genocide levelled against Israel is not only false, it's outrageous,"" PM Netanyahu said.
Israeli Prime Minister Benjamin Netanyahu has said that the genocide charge levelled against Israel is ""outrageous"" and ""decent people everywhere should reject it.""
""The charge of genocide levelled against Israel is not only false, it's outrageous, and decent people everywhere should reject it,"" the Israeli PM said in response to the International Court of Justice's (ICJ) decision on South Africa's genocide claim against Israel.
Mr Netanyahu said: ""On the eve of the International Holocaust Remembrance Day, I again pledge as Prime Minister of Israel - Never Again.
The International Court of Justice in the Hague on Friday ordered Israel to 'take all measures' to prevent genocide in Gaza.",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3Lm5kdHYuY29tL3dvcmxkLW5ld3MvZ2Vub2NpZGUtY2hhcmdlLWFnYWluc3QtaXNyYWVsLW91dHJhZ2VvdXMtc2F5cy1wbS1iZW5qYW1pbi1uZXRhbnlhaHUtNDkzOTcwONIBcmh0dHBzOi8vd3d3Lm5kdHYuY29tL3dvcmxkLW5ld3MvZ2Vub2NpZGUtY2hhcmdlLWFnYWluc3QtaXNyYWVsLW91dHJhZ2VvdXMtc2F5cy1wbS1iZW5qYW1pbi1uZXRhbnlhaHUtNDkzOTcwOC9hbXAvMQ?oc=5
Israel vows to stop UN agency's activities in Gaza after war,"Sun, 28 Jan 2024 03:17:00 GMT","Replace UNRWA, says IsraelIsraeli Foreign Minister Israel Katz called on UNRWA Commissioner-General Philippe Lazzarini to quit his post.
The Israeli army is the only force to have tanks operating in the Gaza Strip.
Militants also seized about 250 hostages and Israel says around 132 of them remain in Gaza, including the bodies of at least 28 dead captives.
But U.S. President Joe Biden's administration fully restored support, providing $340 million in 2022, making it the agency's largest bilateral donor.
The US State Department said Jan. 26 it had ""temporarily paused additional funding"" while it reviewed the claims about UNRWA staff.",https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL2ludGVybmF0aW9uYWwvaXNyYWVsLXZvd3MtdG8tc3RvcC11bi1hZ2VuY3lzLWFjdGl2aXRpZXMtaW4tZ2F6YS1hZnRlci13YXIvYXJ0aWNsZTY3Nzg1NDE1LmVjZdIBgAFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9pbnRlcm5hdGlvbmFsL2lzcmFlbC12b3dzLXRvLXN0b3AtdW4tYWdlbmN5cy1hY3Rpdml0aWVzLWluLWdhemEtYWZ0ZXItd2FyL2FydGljbGU2Nzc4NTQxNS5lY2UvYW1wLw?oc=5
El Al Israel Airlines suspends South Africa route over 'genocide' accusation,"Sat, 27 Jan 2024 07:20:18 GMT","El Al Israel Airlines announced that it would suspend its operations to Johannesburg in South Africa by the end of March due to a significant decrease in demand.
The decline, cited by the Israeli airlines, is due to South Africa's accusation of genocide against Israel at the World Court.
The announcement by Israeli airlines came before the verdict by the International Court of Justice (ICJ) on Friday.
A El Al spokesperson said, ""Israelis don't want to fly to South Africa.""
Two weeks ago, South Africa argued that Israel's military offensive aimed to destroy the population of Gaza.",https://news.google.com/rss/articles/CBMirwFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL3dvcmxkL3N0b3J5L2VsLWFsLWlzcmFlbC1haXJsaW5lcy1zdXNwZW5kcy1vcGVyYXRpb25zLWpvaGFubmVzYnVyZy1zb3V0aC1hZnJpY2EtZ2Vub2NpZGUtYWNjdXNhdGlvbi1pbnRlcm5hdGlvbmFsLWNvdXJ0LW9mLWp1c3RpY2UtMjQ5NDIyOS0yMDI0LTAxLTI30gGzAWh0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vYW1wL3dvcmxkL3N0b3J5L2VsLWFsLWlzcmFlbC1haXJsaW5lcy1zdXNwZW5kcy1vcGVyYXRpb25zLWpvaGFubmVzYnVyZy1zb3V0aC1hZnJpY2EtZ2Vub2NpZGUtYWNjdXNhdGlvbi1pbnRlcm5hdGlvbmFsLWNvdXJ0LW9mLWp1c3RpY2UtMjQ5NDIyOS0yMDI0LTAxLTI3?oc=5
"Israel says UN agency UNRWA involved in October 7 Hamas attack, will stop its activities in Gaza after war","Sat, 27 Jan 2024 12:29:39 GMT","Israel will seek to stop the UN agency for Palestinian refugees from operating in Gaza after the war, a minister said Saturday, after Israel accused several UNRWA staff of involvement in Hamas's October 7 attack.
Click herePalestinian militant group Hamas on Saturday slammed Israeli ""threats"" against UNRWA, urging the UN and other international organisations not to ""cave in to the threats and blackmail"".
UNRWA said Friday it had sacked several employees accused by Israel of involvement in Hamas's unprecedented October 7 attack, prompting the United States to suspend critical funding.
Militants also seized about 250 hostages and Israel says around 132 of them remain in Gaza, including the bodies of at least 28 dead captives.
Israel has vowed to crush Hamas and Gaza's health ministry says the Israeli military offensive has killed at least 26,083 people, about 70 percent of them women and children.",https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LmhpbmR1c3RhbnRpbWVzLmNvbS93b3JsZC1uZXdzL2lzcmFlbC10by1zZWVrLXRvLXN0b3AtdW4tYWdlbmN5cy1hY3Rpdml0aWVzLWluLWdhemEtYWZ0ZXItd2FyLTEwMTcwNjM1NjAxNTExOS5odG1s0gGBAWh0dHBzOi8vd3d3LmhpbmR1c3RhbnRpbWVzLmNvbS93b3JsZC1uZXdzL2lzcmFlbC10by1zZWVrLXRvLXN0b3AtdW4tYWdlbmN5cy1hY3Rpdml0aWVzLWluLWdhemEtYWZ0ZXItd2FyLTEwMTcwNjM1NjAxNTExOS1hbXAuaHRtbA?oc=5
Watch | Have the ICJ Provisional Orders Pleased South Africa and Embarrassed Israel?,"Sat, 27 Jan 2024 10:29:05 GMT","How does the South African government view these orders because it hasn’t got all that it asked for?
What message do the very substantial majorities behind the ICJ orders send to Israel?
In all likelihood Israel will ignore these orders and the matter will inevitably be referred to the Security Council.
Will the Biden administration veto any UNSC resolution thus placing itself in defiance of the ICJ orders?
Finally, do these provisional orders convey any hint of what the final ruling may be?",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vdGhld2lyZS5pbi93b3JsZC9rYXJhbi10aGFwYXItaWNqLXNvdXRoLWFmcmljYS1pc3JhZWwtcGFsZXN0aW5lLW9yZGVy0gFbaHR0cHM6Ly9tLnRoZXdpcmUuaW4vYXJ0aWNsZS93b3JsZC9rYXJhbi10aGFwYXItaWNqLXNvdXRoLWFmcmljYS1pc3JhZWwtcGFsZXN0aW5lLW9yZGVyL2FtcA?oc=5
"Indian Judge At ICJ Supports Order Against Israel, Says Widespread Nature Of Military Operations In Gaza Indicates Plausibility Of Genocide","Fri, 26 Jan 2024 16:06:31 GMT","Justice Bhandari, while voting in favour of the directions to Israel, also issued a separate declaration in support of his decision.
At the outset, Justice Bhandari condemned the attack carried out by Hamas against Israeli civilians on October 7, 2023.
Justice Bhandari explained that provisional measures are issued on the basis of a test of plausibility and that the order cannot be construed as a final declaration of guilt.
At the end, Justice Bhandari appealed to end all hostilities and unconditional release of all hostages captured on October 7, 2023.
By 15: 2 votes, the State of Israel shall ensure with immediate effect that its military does not commit any acts described above.",https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5saXZlbGF3LmluL3RvcC1zdG9yaWVzL2ludGVybmF0aW9uYWwtY291cnQtb2YtanVzdGljZS1pc3JhZWwtZ2F6YS1wYWxlc3RpbmUtanVzdGljZS1kYWx2ZWVyLWJoYW5kYXJpLWluZGlhbi1qdWRnZS1nZW5vY2lkZS0yNDc3MTbSAZEBaHR0cHM6Ly93d3cubGl2ZWxhdy5pbi9hbXAvdG9wLXN0b3JpZXMvaW50ZXJuYXRpb25hbC1jb3VydC1vZi1qdXN0aWNlLWlzcmFlbC1nYXphLXBhbGVzdGluZS1qdXN0aWNlLWRhbHZlZXItYmhhbmRhcmktaW5kaWFuLWp1ZGdlLWdlbm9jaWRlLTI0NzcxNg?oc=5
Israel-Made Anti-Drone Systems to Guard Ayodhya Ram Temple In A First for Uttar Pradesh,"Sun, 28 Jan 2024 05:54:00 GMT","Israel-made anti-drone systems are likely to soon guard the Ayodhya Ram Temple, along with some other top vital installations in Uttar Pradesh, police sources have confirmed to CNN-News18.
This is the first time that an anti-drone technology is being procured by the Uttar Pradesh police.
During the recent Ayodhya Ram Temple Pran Pratishtha event and on other occasions, the police used anti-drone systems borrowed from the National Security Guard (NSG), Special Protection Group (SPG) or other security forces.
CNN-News18 has learnt that these anti-drone systems manufactured in Israel were shortlisted after detailed trials.
Around 10 of these anti-drone systems are being procured by the UP police.",https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5uZXdzMTguY29tL2luZGlhL2lzcmFlbC1tYWRlLWFudGktZHJvbmUtc3lzdGVtcy10by1ndWFyZC1heW9kaHlhLXJhbS10ZW1wbGUtaW4tYS1maXJzdC1mb3ItdXR0YXItcHJhZGVzaC04NzU2OTcxLmh0bWzSAYUBaHR0cHM6Ly93d3cubmV3czE4LmNvbS9hbXAvaW5kaWEvaXNyYWVsLW1hZGUtYW50aS1kcm9uZS1zeXN0ZW1zLXRvLWd1YXJkLWF5b2RoeWEtcmFtLXRlbXBsZS1pbi1hLWZpcnN0LWZvci11dHRhci1wcmFkZXNoLTg3NTY5NzEuaHRtbA?oc=5
"World News in Brief: ICJ to release emergency measures over Israel genocide allegations, Libya flood repair bill, leprosy stigma continues","Thu, 25 Jan 2024 20:20:44 GMT","Provisional measures are a type of temporary injunction or holding measure ahead of a final decision on the dispute.
Israel argued in presenting its case that the war on Hamas was one purely of defence and “not against the Palestinian people”.
That’s the urgent message from top UN-appointed human rights experts on Thursday who said that some 200,000 new cases of leprosy are registered each year worldwide.
A trader affected by leprosy waits for customers in Addis Ababa, Ethiopia.
Children, the elderly and women are particularly affected by leprosy and judgmental attitudes and policies towards the disease, along with minorities and indigenous peoples, the rights experts said.",https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vbmV3cy51bi5vcmcvZW4vc3RvcnkvMjAyNC8wMS8xMTQ1OTA30gEA?oc=5
UN chief calls on countries to resume funding Gaza aid agency after allegations of militant ties,"Sun, 28 Jan 2024 07:13:29 GMT","The dispute engulfing the biggest provider of vital aid to Palestinians came as US officials said negotiators were closing in on a cease-fire agreement.
The emerging deal would bring a two-month halt to the deadliest-ever Israeli-Palestinian violence, which has stoked instability across the Middle East.
Antonio Guterres warned that the U.N. agency for Palestinian refugees, known as UNRWA, would be forced to scale back aid to more than 2 million Palestinians as soon as February.
The coastal enclave is in the grip of a severe humanitarian crisis, with a quarter of the population facing starvation.
The Hamas attack in southern Israel killed about 1,200 people, mostly civilians, and about 250 hostages were taken.",https://news.google.com/rss/articles/CBMilQFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS93b3JsZC8yMDI0L0phbi8yOC91bi1jaGllZi1jYWxscy1vbi1jb3VudHJpZXMtdG8tcmVzdW1lLWZ1bmRpbmctZ2F6YS1haWQtYWdlbmN5LWFmdGVyLWFsbGVnYXRpb25zLW9mLW1pbGl0YW50LXRpZXMtMtIBnwFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9hbXAvc3Rvcnkvd29ybGQvMjAyNC9KYW4vMjgvdW4tY2hpZWYtY2FsbHMtb24tY291bnRyaWVzLXRvLXJlc3VtZS1mdW5kaW5nLWdhemEtYWlkLWFnZW5jeS1hZnRlci1hbGxlZ2F0aW9ucy1vZi1taWxpdGFudC10aWVzLTI?oc=5
US pauses funding to UN agency for Palestinians after claims staffers were involved in Hamas attack,"Sat, 27 Jan 2024 14:46:30 GMT","The agency, known by its acronym UNRWA, has been the main agency providing aid for Gaza’s population amid the humanitarian disaster caused by Israel’s offensive against Hamas in Gaza triggered by the Oct. 7 attack.
UNRWA officials did not comment on the impact that the U.S. halt in funding would have on its operations.
UNRWA has 13,000 staffers in Gaza, almost all of them Palestinians, ranging from teachers in schools that the agency runs to doctors, medical staff and aid workers.
The U.S. State Department said it was “extremely troubled” by the allegations against the UNRWA staffers and has temporarily paused additional funding for the agency.
Thousands of Palestinians fled the southern Gaza city of Khan Younis on Friday as fighting between Hamas militants and Israeli forces intensified.",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS93b3JsZC91cy1wYXVzZXMtZnVuZGluZy11bi1hZ2VuY3ktcGFsZXN0aW5pYW5zLXN0YWZmZXJzLWhhbWFzLWF0dGFjay05MTMwNTUzL9IBdGh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS93b3JsZC91cy1wYXVzZXMtZnVuZGluZy11bi1hZ2VuY3ktcGFsZXN0aW5pYW5zLXN0YWZmZXJzLWhhbWFzLWF0dGFjay05MTMwNTUzL2xpdGUv?oc=5
