Title,Time,Description,Source
Palestinians condemn suspension of UNRWA funding by Western nations,"Sat, 27 Jan 2024 22:07:30 GMT","Australia, Germany, UK, US and others halt support after Israel accused UNRWA staff of involvement in Hamas’s October 7 attacks.
This has prompted at least 10 Western countries to withdraw or temporarily pause funding to the agency, a move the head of UNRWA called “shocking”.
Ireland and Norway, however, expressed continued support for UNRWA, saying the agency does crucial work to help Palestinians displaced and in desperate need of assistance in Gaza.
“The Israeli authorities have provided UNRWA with information about the alleged involvement of several UNRWA employees in the horrific attacks on Israel on October 7,” Lazzarini said.
Canada’s International Development Minister Ahmed Hussen also said on Friday that Ottawa had “temporarily paused” additional funding while UNRWA conducts a thorough investigation.",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDI0LzEvMjcvcGFsZXN0aW5pYW5zLXNsYW0tc3VzcGVuc2lvbi1vZi11bnJ3YS1mdW5kaW5nLWJ5LXNvbWUtd2VzdGVybi1uYXRpb25z0gFyaHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvbmV3cy8yMDI0LzEvMjcvcGFsZXN0aW5pYW5zLXNsYW0tc3VzcGVuc2lvbi1vZi11bnJ3YS1mdW5kaW5nLWJ5LXNvbWUtd2VzdGVybi1uYXRpb25z?oc=5
UN agency for Palestinian refugees sacks staff for ‘role in Hamas attack’,"Sat, 27 Jan 2024 03:23:00 GMT","Call for reviewIn response to the firings, UN chief Antonio Guterres pledged to conduct an “urgent and comprehensive independent review of UNRWA”, his spokesman Stephane Dujarric said.
Relations between Israel and UNRWA deteriorated further in recent days, when the UN agency said tank shelling hit a shelter for displaced people in Gaza’s main southern city of Khan Younis.
The agency said tens of thousands of displaced people had been registered at the shelter and Wednesday’s tank shelling killed 13 persons.
The agency’s chronic budget shortfalls worsened dramatically in 2018 when former U.S. President Donald Trump cut support to the agency.
At least 26,083 Palestinians have been killed in the Gaza Strip in Israeli bombardments and ground offensive since then.",https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9pbnRlcm5hdGlvbmFsL3VuLWFnZW5jeS1mb3ItcGFsZXN0aW5pYW4tcmVmdWdlZXMtc2Fja3Mtc3RhZmYtZm9yLXJvbGUtaW4taGFtYXMtYXR0YWNrL2FydGljbGU2Nzc4MjE5MC5lY2XSAYwBaHR0cHM6Ly93d3cudGhlaGluZHUuY29tL25ld3MvaW50ZXJuYXRpb25hbC91bi1hZ2VuY3ktZm9yLXBhbGVzdGluaWFuLXJlZnVnZWVzLXNhY2tzLXN0YWZmLWZvci1yb2xlLWluLWhhbWFzLWF0dGFjay9hcnRpY2xlNjc3ODIxOTAuZWNlL2FtcC8?oc=5
UNRWA claims: UK halts aid to UN agency over allegation staff helped Hamas attack,"Sat, 27 Jan 2024 20:54:00 GMT","""One million displaced people are currently taking refuge in and around UNRWA buildings.
They are the ones who will suffer as a result of this decision,"" said Mr Gunness, adding: ""The curtailing of UNRWA services will also destabilise the region at a time when Western governments are trying to contain a regional conflagration.""",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1taWRkbGUtZWFzdC02ODEwNDIwM9IBN2h0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1taWRkbGUtZWFzdC02ODEwNDIwMy5hbXA?oc=5
"Australia, Italy and others halt funding to U.N. agency over claim staff involved in Hamas attack on Israel","Sun, 28 Jan 2024 03:50:00 GMT","Several key donor countries to the UN agency for Palestinian refugees joined the U.S. and said on Saturday they would halt their funding following accusations by Israel that several UNRWA staff were involved in Hamas's Oct. 7 attack.
The organization said it had opened an investigation into allegations from Israel that some of its staff members participated in Hamas' Oct. 7 attack.
UNWRA head Philippe Lazzarini said in a statement on Saturday that nine countries have suspended funding to the agency which threatens ""our ongoing humanitarian work across the region including and especially in the Gaza Strip.""
Key donors have paused funds to the U.N. agency after a claim staff participated in Hamas attacks on Israel.
Here are what the countries that have suspended funding have said about the allegations:Germany announced late Saturday they are suspending funding to UNRWA.",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvY291bnRyaWVzLWhhbHQtZnVuZGluZy10by11bnJ3YS1vdmVyLWNsYWltLXN0YWZmLWludm9sdmVkLWluLWhhbWFzLWF0dGFjay_SAWtodHRwczovL3d3dy5jYnNuZXdzLmNvbS9hbXAvbmV3cy9jb3VudHJpZXMtaGFsdC1mdW5kaW5nLXRvLXVucndhLW92ZXItY2xhaW0tc3RhZmYtaW52b2x2ZWQtaW4taGFtYXMtYXR0YWNrLw?oc=5
🔴 Live: UN chief asks donor countries to ensure 'continuity' of Gaza aid operations,"Sun, 28 Jan 2024 06:26:16 GMT","About casualty figures from Gaza’s Hamas-run health ministry:Gaza’s health ministry collects data from the enclave’s hospitals and the Palestinian Red Crescent.
Throughout four wars and numerous skirmishes between Israel and Hamas, UN agencies have cited the Hamas-run health ministry’s death tolls in regular reports.
The International Committee of the Red Cross and Palestinian Red Crescent also use the numbers.
The UN's counts have largely been consistent with the Gaza health ministry’s, with small discrepancies.
For more on the Gaza health ministry’s tolls, click here.",https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5mcmFuY2UyNC5jb20vZW4vbWlkZGxlLWVhc3QvMjAyNDAxMjgtJUYwJTlGJTk0JUI0LWxpdmUtdW4tY2hpZWYtZ3V0ZXJyZXMtYXNrcy1kb25vci1jb3VudHJpZXMtZm9yLWNvbnRpbnVpdHktaW4tZ2F6YS1hZ2VuY3ktb3BlcmF0aW9uc9IBAA?oc=5
No European country more than Germany is going further in clamping down on Hamas,"Sun, 28 Jan 2024 10:17:00 GMT","Adding to a complex picture, Germany has the largest Palestinian diaspora in Europe, estimated at 300,000.
J'rg Carstensen/picture-alliance/dpa/APThere are thought to be around 450 Hamas members in Germany and, like the rest of the European Union, Germany considers Hamas a terrorist organization.
There were also reports of people celebrating the Hamas attacks on the streets of Berlin.
Spreading propagandaOn November 2, Germany took the step of banning Hamas and all activities linked to the group.
Police stand outside a building that houses a synagogue following a pre-dawn attack on October 18 in Berlin, Germany.",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wMS8yOC9ldXJvcGUvZXVyb3BlLWdlcm1hbnktaGFtYXMtY3JhY2tkb3duLWZyZWUtc3BlZWNoLWludGwvaW5kZXguaHRtbNIBZGh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjQvMDEvMjgvZXVyb3BlL2V1cm9wZS1nZXJtYW55LWhhbWFzLWNyYWNrZG93bi1mcmVlLXNwZWVjaC1pbnRsL2luZGV4Lmh0bWw?oc=5
Fresh Israel-Hamas talks expected on freeing hostages in exchange for ceasefire,"Sun, 28 Jan 2024 12:14:00 GMT","Talks aimed at brokering a fresh agreement to release further Israeli hostages in Gaza in exchange for a pause in fighting are expected as US, Qatari, Israeli and Egyptian officials meet in France.
US officials have reportedly proposed an initial 30-day temporary ceasefire while the remaining female, elderly and wounded Israeli hostages are freed.
During talks in Doha in recent weeks, Hamas has repeatedly declined to accept any deal that does not include a permanent ceasefire, according to reports.
Israel recently offered a two-month pause to the fighting in exchange for hostages, but without guaranteeing a permanent end to the war.
Cairo previously proposed an ambitious deal for a 10-day halt in fighting in exchange for an Israeli withdrawal from Gaza, the release of hostages and Hamas leaders’ exit from Gaza.",https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS93b3JsZC8yMDI0L2phbi8yOC9mcmVzaC1pc3JhZWwtaGFtYXMtdGFsa3MtZXhwZWN0ZWQtb24tZnJlZWluZy1ob3N0YWdlcy1pbi1leGNoYW5nZS1mb3ItY2Vhc2VmaXJl0gF9aHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL3dvcmxkLzIwMjQvamFuLzI4L2ZyZXNoLWlzcmFlbC1oYW1hcy10YWxrcy1leHBlY3RlZC1vbi1mcmVlaW5nLWhvc3RhZ2VzLWluLWV4Y2hhbmdlLWZvci1jZWFzZWZpcmU?oc=5
"Israel-Hamas war live updates: Civilians trapped in Khan Yunis amid heavy rain and fighting; Gaza death toll at 26,257","Sat, 27 Jan 2024 16:36:06 GMT","14:22 (IST) Jan 27The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has sacked several of its employees suspected of involvement in the October 7 terror attacks on Israel.
UNRWA chief Philippe Lazzarini in a statement said that the agency had sacked several of its employees after Israel's accusation.
Sources in the Israel Defense Forces (IDF) told IANS that 12 of UNRWA staff had participated in the violent terror attacks of October 7 leading to the brutal slaughter of 1,200 people in Israel.
They also said that the information on the alleged involvement of UMRWA staff members was provided by the terrorists who were arrested by Israel.
The UNRWA chief in a statement on Friday night said, ""Any UNRWA employee who was involved in acts of terror will be held accountable, including through criminal prosecution.""",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL3dvcmxkL21pZGRsZS1lYXN0L2lzcmFlbC1oYW1hcy13YXItbGl2ZS11cGRhdGVzL2xpdmVibG9nLzEwNzE1NTAxMi5jbXPSAW5odHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS93b3JsZC9taWRkbGUtZWFzdC9pc3JhZWwtaGFtYXMtd2FyLWxpdmUtdXBkYXRlcy9hbXBfbGl2ZWJsb2cvMTA3MTU1MDEyLmNtcw?oc=5
Israel vows to stop UN agency activities in Gaza; blames it for Hamas attack,"Sat, 27 Jan 2024 14:26:40 GMT","Israel vowed Saturday to stop the UN agency at the heart of humanitarian efforts in Gaza from operating after the war following the sacking of staff over accusations they were involved in the October 7 attack.
Hamas on Saturday slammed Israeli ""threats"" against UNRWA, urging the United Nations and other international organisations not to ""cave in to the threats and blackmail"".
The agency said tens of thousands of displaced people had been registered at the shelter and Wednesday's tank shelling killed 13 people.
The agency's chronic budget shortfalls worsened dramatically in 2018 when former US president Donald Trump cut support to the agency.
Italy on Saturday became the latest country to stop funding to the agency, after Australia and Canada said they had also suspended their funding.",https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5saXZlbWludC5jb20vbmV3cy93b3JsZC9pc3JhZWwtYWNjdXNlcy11bi1hZ2VuY3ktZm9yLWhhbWFzLWF0dGFjay12b3dzLXRvLXN0b3AtaXRzLWFjdGl2aXRpZXMtaW4tZ2F6YS1hbGwteW91LW5lZWQtdG8ta25vdy0xMTcwNjM2MjkyMDc4Ni5odG1s0gGeAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9uZXdzL3dvcmxkL2lzcmFlbC1hY2N1c2VzLXVuLWFnZW5jeS1mb3ItaGFtYXMtYXR0YWNrLXZvd3MtdG8tc3RvcC1pdHMtYWN0aXZpdGllcy1pbi1nYXphLWFsbC15b3UtbmVlZC10by1rbm93L2FtcC0xMTcwNjM2MjkyMDc4Ni5odG1s?oc=5
Three Palestinians killed in Gaza airstrike; Israel presses on with war against Hamas,"Sat, 27 Jan 2024 20:00:00 GMT","Friday’s decision came in a case brought by South Africa, which alleged Israel is committing genocide against the Palestinian territory’s people, a charge Israel vehemently denies.
Also Read | Israel must prevent genocidal acts in Gaza, says U.N. courtThe war has killed more than 26,000 Palestinians, according to local health officials, destroyed vast swaths of Gaza and displaced nearly 85% of a population of 2.3 million people.
It was triggered by an unprecedented Hamas attack on southern Israel on Oct. 7 in which militants killed about 1,200 people, mostly civilians, and took about 250 hostages.
Israel says its air and ground offensive in Gaza has killed more than 9,000 militants.
Almost four months after the Hamas attack in southern Israel, dozens of hostages remain captive in Gaza.",https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9pbnRlcm5hdGlvbmFsL3RocmVlLXBhbGVzdGluaWFucy1raWxsZWQtaW4tZ2F6YS1haXJzdHJpa2UtaXNyYWVsLXByZXNzZXMtb24td2l0aC13YXItYWdhaW5zdC1oYW1hcy9hcnRpY2xlNjc3ODM1NzguZWNl0gGZAWh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL2ludGVybmF0aW9uYWwvdGhyZWUtcGFsZXN0aW5pYW5zLWtpbGxlZC1pbi1nYXphLWFpcnN0cmlrZS1pc3JhZWwtcHJlc3Nlcy1vbi13aXRoLXdhci1hZ2FpbnN0LWhhbWFzL2FydGljbGU2Nzc4MzU3OC5lY2UvYW1wLw?oc=5
